Date,Open,High,Low,Close,Adj Close,Volume
2020-07-15,6.317540,6.354409,6.186530,6.215803,6.215803,578896464
2020-07-16,6.216070,6.249703,5.951727,6.025418,6.025418,636508435
2020-07-17,6.025265,6.101077,5.973211,6.029158,6.029158,549806440
2020-07-18,6.028619,6.097501,5.954230,6.042909,6.042909,463666673
2020-07-19,6.043064,6.098689,5.967927,6.079079,6.079079,471087490
2020-07-20,6.082333,6.177953,6.010251,6.037284,6.037284,494239655
2020-07-21,6.037218,6.176868,6.019266,6.172388,6.172388,536241008
2020-07-22,6.173149,6.373860,6.107778,6.344457,6.344457,550582710
2020-07-23,6.347398,6.478252,6.304145,6.423946,6.423946,623580969
2020-07-24,6.427881,6.433949,6.222073,6.251893,6.251893,564877717
2020-07-25,6.253750,6.701773,6.236356,6.676862,6.676862,691476129
2020-07-26,6.681352,6.855169,6.491513,6.620230,6.620230,738583538
2020-07-27,6.620380,7.323601,6.620380,7.110229,7.110229,1204981144
2020-07-28,7.115630,7.371362,6.851756,7.227256,7.227256,1079244852
2020-07-29,7.227611,7.522926,7.161818,7.271179,7.271179,923782910
2020-07-30,7.277273,7.462560,7.049853,7.352547,7.352547,851785157
2020-07-31,7.347665,7.561620,7.271071,7.408437,7.408437,911572840
2020-08-01,7.408437,7.901046,7.316400,7.814977,7.814977,1106870390
2020-08-02,7.820669,8.232162,6.906106,7.178682,7.178682,1219211807
2020-08-03,7.181977,7.340736,7.086222,7.168063,7.168063,854381374
2020-08-04,7.167830,7.254159,7.059104,7.132067,7.132067,755847370
2020-08-05,7.134499,7.347428,7.102480,7.233103,7.233103,711927892
2020-08-06,7.232080,7.251702,7.026349,7.112605,7.112605,778677628
2020-08-07,7.104855,7.260515,6.711233,6.881159,6.881159,932695027
2020-08-08,6.880970,6.981005,6.802200,6.905473,6.905473,637807950
2020-08-09,6.926279,7.183716,6.770359,6.893593,6.893593,711013786
2020-08-10,6.896112,7.128762,6.842009,7.067364,7.067364,744754117
2020-08-11,7.067875,7.175221,6.550028,6.766376,6.766376,772362352
2020-08-12,6.768680,6.859457,6.536251,6.826870,6.826870,670533879
2020-08-13,6.828032,7.062712,6.603268,7.022184,7.022184,710580436
2020-08-14,7.011541,7.061253,6.848960,6.884367,6.884367,656398497
2020-08-15,6.879857,7.283000,6.879857,7.196795,7.196795,786821353
2020-08-16,7.196797,7.289944,7.011154,7.244570,7.244570,769055730
2020-08-17,7.244570,7.512291,7.136177,7.374474,7.374474,802217402
2020-08-18,7.373183,7.774407,7.237695,7.289837,7.289837,863281171
2020-08-19,7.289115,7.396519,6.706667,6.814453,6.814453,752855503
2020-08-20,6.816355,7.043280,6.779299,6.977217,6.977217,552303520
2020-08-21,6.982088,7.088297,6.664913,6.665637,6.665637,613628634
2020-08-22,6.651133,6.792049,6.581634,6.783627,6.783627,584249050
2020-08-23,6.777405,6.825676,6.637953,6.777529,6.777529,546905153
2020-08-24,6.776461,6.896923,6.729938,6.864363,6.864363,552674423
2020-08-25,6.865653,6.870093,6.414478,6.498166,6.498166,612092126
2020-08-26,6.495528,6.551236,6.439165,6.480997,6.480997,584905070
2020-08-27,6.476040,6.733052,6.278492,6.356853,6.356853,686461970
2020-08-28,6.360656,6.630989,6.317250,6.509595,6.509595,612795217
2020-08-29,6.503542,6.652837,6.486300,6.530779,6.530779,614938597
2020-08-30,6.524409,6.694917,6.471193,6.685411,6.685411,687597705
2020-08-31,6.695949,6.759533,6.573450,6.611018,6.611018,539993003
2020-09-01,6.607481,6.826451,6.548461,6.762590,6.762590,654830012
2020-09-02,6.761416,6.808047,6.216112,6.317802,6.317802,629725612
2020-09-03,6.313856,6.355633,4.902869,5.671927,5.671927,682999663
2020-09-04,5.651030,5.651030,4.978712,5.363436,5.363436,1057957439
2020-09-05,5.381421,5.447407,4.907465,5.047934,5.047934,959438111
2020-09-06,5.047934,5.442208,4.973344,5.192960,5.192960,653562868
2020-09-07,5.193165,5.218724,4.906702,5.114129,5.114129,729376600
2020-09-08,5.115703,5.205702,4.981693,5.102360,5.102360,1008973015
2020-09-09,5.104585,5.161644,5.002609,5.073534,5.073534,915539324
2020-09-10,5.075807,5.240331,5.070863,5.208734,5.208734,941957394
2020-09-11,5.208734,5.260586,5.093021,5.235550,5.235550,1099058524
2020-09-12,5.235550,5.276449,5.176020,5.258013,5.258013,744301331
2020-09-13,5.258013,5.371810,5.014474,5.075144,5.075144,674335392
2020-09-14,5.074853,5.261418,5.025187,5.188043,5.188043,688824616
2020-09-15,5.183923,5.342832,5.169177,5.208786,5.208786,771249844
2020-09-16,5.211072,5.213279,5.080689,5.163062,5.163062,663689104
2020-09-17,5.162818,5.252343,5.121555,5.234347,5.234347,572999419
2020-09-18,5.234347,5.241872,5.109584,5.232654,5.232654,585843660
2020-09-19,5.223520,5.275491,5.194908,5.255683,5.255683,491693943
2020-09-20,5.252830,5.254699,5.048235,5.109915,5.109915,602081639
2020-09-21,5.122036,5.154139,4.701813,4.872701,4.872701,941205369
2020-09-22,4.875455,4.996876,4.792352,4.970047,4.970047,743445295
2020-09-23,4.970047,5.013465,4.845741,4.879066,4.879066,673732019
2020-09-24,4.879854,5.035370,4.840472,5.022540,5.022540,482576369
2020-09-25,5.024408,5.051470,4.904951,5.013247,5.013247,377619132
2020-09-26,5.018376,5.441087,5.018376,5.391321,5.391321,535473245
2020-09-27,5.391026,5.752555,5.380517,5.464519,5.464519,559874336
2020-09-28,5.464519,5.601341,5.424517,5.430210,5.430210,452843055
2020-09-29,5.427098,5.462430,5.353869,5.421402,5.421402,344764940
2020-09-30,5.417793,5.435476,5.288991,5.405890,5.405890,310144532
2020-10-01,5.410380,5.501926,5.221886,5.342928,5.342928,327824279
2020-10-02,5.340801,5.372272,5.071785,5.196861,5.196861,371249821
2020-10-03,5.196861,5.218549,5.113760,5.146861,5.146861,418614124
2020-10-04,5.146861,5.204702,5.096644,5.170965,5.170965,571930311
2020-10-05,5.170965,5.207690,5.084135,5.119501,5.119501,453329673
2020-10-06,5.119338,5.329481,5.097528,5.249243,5.249243,501350214
2020-10-07,5.249243,5.253687,5.178137,5.188159,5.188159,364875525
2020-10-08,5.188776,5.241804,5.137733,5.192152,5.192152,398787359
2020-10-09,null,null,null,null,null,null
2020-10-10,5.272913,5.434956,5.271850,5.302433,5.302433,514817451
2020-10-11,5.294988,5.452019,5.279108,5.437757,5.437757,458773819
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,5.365934,5.451628,5.323033,5.381025,5.381025,602199143
2020-10-15,5.379185,5.425095,5.308079,5.330966,5.330966,505312350
2020-10-16,5.338406,5.364144,5.148734,5.178282,5.178282,620883094
2020-10-17,5.180681,5.256004,5.155222,5.190180,5.190180,610272085
2020-10-18,5.187972,5.248077,5.177311,5.222735,5.222735,617839279
2020-10-19,5.231931,5.285870,5.161938,5.221812,5.221812,473409560
2020-10-20,5.224291,5.259504,5.060972,5.097246,5.097246,431135509
2020-10-21,5.093592,5.398645,5.080463,5.369103,5.369103,489997722
2020-10-22,5.367114,5.723182,5.366560,5.620272,5.620272,602470749
2020-10-23,5.622089,5.653921,5.412066,5.482522,5.482522,582003737
2020-10-24,5.482522,5.560381,5.455650,5.525563,5.525563,472797656
2020-10-25,5.525563,5.603571,5.445765,5.548082,5.548082,738314183
2020-10-26,5.548082,5.600827,5.404560,5.450547,5.450547,700462079
2020-10-27,5.450547,5.526125,5.418098,5.454066,5.454066,572965375
2020-10-28,5.454066,5.576111,5.244642,5.279699,5.279699,594927317
2020-10-29,5.279699,5.468358,5.225175,5.397650,5.397650,686973859
2020-10-30,5.397649,5.452706,5.202061,5.257024,5.257024,620039414
2020-10-31,5.257024,5.313699,5.216159,5.267003,5.267003,438423238
2020-11-01,5.267003,5.288877,5.171067,5.214980,5.214980,434742209
2020-11-02,5.214979,5.264145,4.908671,4.956998,4.956998,696015911
2020-11-03,4.956998,4.956998,4.682984,4.853767,4.853767,638480036
2020-11-04,4.853766,4.939719,4.684934,4.864776,4.864776,776353466
2020-11-05,4.864776,5.092715,4.799898,5.092601,5.092601,716892261
2020-11-06,5.092601,5.429567,5.057777,5.355967,5.355967,579096370
2020-11-07,5.355967,5.538744,4.961043,5.072661,5.072661,460073699
2020-11-08,5.072661,5.262629,5.044234,5.178138,5.178138,386130835
2020-11-09,5.178138,5.213601,4.917063,5.033513,5.033513,413108147
2020-11-10,5.033521,5.195755,5.014953,5.122779,5.122779,663080326
2020-11-11,5.122780,5.200890,5.072134,5.089673,5.089673,1429155325
2020-11-12,5.089673,5.119847,4.974705,5.032026,5.032026,1001159037
2020-11-13,5.032026,5.150352,5.003165,5.131899,5.131899,426788741
2020-11-14,5.131899,5.161546,4.990415,5.039510,5.039510,376806344
2020-11-15,5.039510,5.053790,4.945288,5.027724,5.027724,385247536
2020-11-16,5.027724,5.392848,4.991576,5.312433,5.312433,561294196
2020-11-17,5.580334,5.951334,5.504944,5.766290,5.766290,896581894
2020-11-18,5.766289,6.335029,5.432863,6.061841,6.061841,1857196416
2020-11-19,6.061827,6.143344,5.753198,5.920777,5.920777,1060495098
2020-11-20,5.920783,6.074612,5.851344,6.051115,6.051115,1031112251
2020-11-21,6.051115,6.572062,5.871676,6.566002,6.566002,1320305778
2020-11-22,6.566002,6.683685,5.747604,6.020376,6.020376,1162351895
2020-11-23,6.020377,6.531630,5.951179,6.531390,6.531390,1134816057
2020-11-24,6.531253,7.375125,6.457747,7.259277,7.259277,1926616509
2020-11-25,7.259712,7.878614,6.762078,7.002115,7.002115,2487592318
2020-11-26,7.000277,7.158547,5.633684,6.125151,6.125151,2187891310
2020-11-27,6.127226,6.444327,5.950169,6.202728,6.202728,1129287986
2020-11-28,6.203551,6.460874,6.092548,6.326378,6.326378,1061296762
2020-11-29,6.326499,6.445794,6.169863,6.392298,6.392298,810402854
2020-11-30,6.392256,6.783510,6.319732,6.716744,6.716744,1166399340
2020-12-01,6.717308,6.967281,6.113256,6.174108,6.174108,1624176560
2020-12-02,6.174130,6.373979,6.091407,6.234452,6.234452,884508035
2020-12-03,6.235208,6.599756,6.188473,6.580672,6.580672,1179242850
2020-12-04,6.580558,6.580716,5.925315,6.003085,6.003085,993689938
2020-12-05,6.001930,6.193979,5.917398,6.193979,6.193979,1045936325
2020-12-06,6.193867,6.252002,6.037376,6.161810,6.161810,766801976
2020-12-07,6.161903,6.208485,6.079588,6.150582,6.150582,586148263
